pH,Temperature,Turbidity_V,Dissolved_Oxygen,Distance_CM,Threat_Label
7.68,23.5,0.81,6.5,22.7,0
5.45,25.2,1.13,2.3,1.1,1
9.18,29.2,0.85,5.5,24.8,1
6.6,32.9,1.34,7.6,1.9,1
5.93,31.3,1.27,1.3,3.9,0
5.2,28.3,1.38,5.0,6.8,1
7.95,25.4,1.17,4.2,11.5,0
8.39,25.5,1.11,2.7,13.4,1
5.08,33.2,1.11,4.0,3.5,1
7.56,20.6,1.03,8.9,2.8,1
6.13,34.8,1.08,6.8,1.8,1
8.23,30.0,1.18,3.4,7.2,0
5.87,30.2,1.36,5.8,23.1,1
8.45,20.6,1.16,3.0,10.4,1
6.93,29.1,1.31,5.9,19.3,1
9.68,27.3,1.32,8.2,5.6,1
5.69,21.6,1.11,5.5,2.6,1
6.71,24.2,1.01,6.9,14.3,0
5.57,33.4,1.18,4.6,20.7,1
9.62,28.2,1.07,5.2,22.6,1
9.39,26.2,0.85,6.6,14.1,1
6.29,21.1,1.03,7.5,8.1,0
8.3,30.7,1.4,6.3,3.6,1
9.09,30.5,0.83,8.8,17.0,1
7.78,29.2,1.22,7.6,7.7,0
7.65,27.7,1.3,7.2,21.3,1
6.21,26.5,1.19,7.8,15.5,0
5.47,28.9,1.14,3.2,21.6,1
9.49,23.5,1.22,4.5,14.6,1
9.5,34.1,1.06,5.5,19.5,1
8.17,28.8,0.85,4.7,8.1,0
6.7,24.7,1.38,7.8,13.1,1
6.75,26.7,1.06,1.2,1.5,1
8.63,32.1,1.2,2.7,15.6,1
9.49,22.4,1.12,8.1,13.8,1
9.44,24.4,0.83,1.5,19.1,1
8.9,30.2,1.37,2.8,18.5,1
8.21,24.7,1.28,3.8,16.1,1
5.42,31.9,0.89,7.0,2.4,1
5.81,22.0,1.39,5.5,22.7,1
9.49,31.4,1.24,8.6,1.4,1
8.03,21.0,1.08,2.8,20.3,1
5.05,20.2,1.17,8.0,12.5,1
5.51,33.5,0.86,3.3,20.6,1
8.32,28.7,1.14,3.0,12.2,1
5.03,25.3,0.84,5.0,16.5,1
5.8,23.5,1.13,1.6,9.7,1
7.74,29.3,1.13,4.1,18.8,0
8.46,27.6,1.32,3.8,7.1,1
8.26,34.9,1.24,2.3,18.3,1
6.12,34.7,0.95,7.9,5.6,0
8.56,29.5,1.33,4.1,18.3,1
6.19,26.6,1.14,8.9,8.0,0
6.63,27.4,1.16,8.2,7.7,0
8.73,30.2,0.9,2.6,20.5,1
8.25,21.5,1.31,5.0,20.5,1
9.25,24.9,1.36,5.8,17.6,1
8.29,21.1,1.26,7.6,23.2,1
7.84,21.1,1.36,8.1,4.7,1
5.47,22.9,0.98,6.0,7.5,1
6.84,27.3,1.32,1.3,8.1,1
6.33,31.8,1.09,4.9,8.3,0
6.22,27.3,0.9,8.1,8.9,0
9.87,25.0,1.2,6.7,17.7,1
6.97,21.2,1.21,8.0,7.5,0
9.46,28.3,0.97,6.4,7.9,1
8.16,24.1,0.82,1.4,14.7,1
8.97,29.2,0.92,8.7,5.6,1
7.51,34.7,1.04,8.3,9.8,0
7.88,21.7,0.9,2.0,2.4,1
7.46,23.2,0.92,1.9,23.9,1
5.98,27.1,1.03,5.3,8.6,1
8.61,34.5,1.38,7.1,21.4,1
6.4,31.6,1.26,4.1,13.7,1
5.12,33.5,0.99,2.1,6.5,1
8.23,25.0,1.37,5.1,5.6,1
5.89,34.9,1.19,3.7,17.7,1
9.7,21.5,1.07,3.8,24.2,1
9.77,20.8,1.08,6.2,5.4,1
9.57,32.8,1.05,8.1,3.8,1
6.85,33.9,0.94,5.5,10.3,0
5.08,21.4,1.03,6.5,10.5,1
9.64,21.7,1.12,6.3,20.4,1
7.14,20.5,1.12,5.4,12.3,0
9.83,21.6,1.26,3.5,2.5,1
9.82,23.1,1.02,4.0,23.1,1
9.27,34.6,1.23,3.5,10.0,1
6.47,30.0,1.15,8.3,17.0,0
6.93,31.7,1.38,7.6,17.0,1
9.26,31.6,1.03,5.6,2.4,1
6.58,28.0,1.34,8.3,1.1,1
5.85,32.0,1.29,8.1,3.1,1
7.78,28.9,1.18,8.4,24.0,0
9.68,24.7,1.19,2.8,20.1,1
8.48,28.4,0.85,6.7,4.2,1
7.85,28.0,1.37,5.9,15.8,1
5.49,32.4,0.86,6.9,15.7,1
8.08,34.7,1.14,3.1,1.0,1
9.95,26.2,1.0,6.6,11.3,1
5.7,31.5,1.06,4.3,18.1,1
7.59,21.5,1.17,7.7,5.5,0
9.39,31.7,1.35,7.4,21.4,1
8.7,25.6,1.07,2.7,16.8,1
8.49,20.6,1.39,2.5,1.2,1
8.51,25.4,1.16,6.7,21.5,1
6.8,29.2,0.9,5.4,1.5,1
6.47,21.8,0.91,5.5,22.3,0
9.05,33.9,1.23,7.0,9.0,1
9.05,21.2,0.83,7.8,17.8,1
9.34,34.0,1.09,2.9,19.9,1
9.57,30.6,0.89,5.4,7.8,1
7.56,24.9,1.06,7.6,9.6,0
7.51,25.9,1.25,8.0,13.2,0
8.99,31.1,1.08,3.3,15.0,1
8.25,29.0,0.9,1.8,8.0,1
8.51,30.1,0.95,2.9,24.8,1
8.98,25.8,1.02,8.6,18.7,1
9.45,27.3,0.84,4.7,7.6,1
6.69,34.8,1.15,4.3,16.4,0
6.88,23.2,1.16,1.1,11.4,1
5.47,26.3,0.84,1.4,21.6,1
7.89,24.4,1.04,6.3,8.9,0
5.18,31.5,1.05,5.7,5.5,1
7.33,31.5,1.0,5.6,2.1,1
7.71,24.4,1.13,1.9,24.6,1
6.43,21.2,1.01,3.8,9.6,0
7.95,20.2,1.05,7.5,6.3,0
5.15,26.4,1.28,2.4,12.8,1
5.19,26.2,0.9,8.1,8.0,1
9.11,34.8,1.17,2.0,6.6,1
6.8,27.0,1.1,2.4,15.8,1
5.64,23.8,0.98,4.8,2.8,1
7.61,33.4,1.24,8.6,13.2,0
8.85,27.4,1.13,3.6,10.3,1
6.08,29.0,1.09,6.3,13.8,0
8.11,21.4,1.2,5.7,8.7,0
5.43,25.7,1.28,2.2,14.7,1
5.26,34.2,1.38,3.0,3.0,1
7.66,28.8,1.18,8.4,10.0,0
7.7,25.2,1.32,2.5,6.7,1
8.19,29.4,0.8,6.6,11.5,0
8.63,33.7,1.12,8.7,10.6,1
9.88,24.1,0.93,2.0,16.1,1
7.58,27.6,0.86,4.2,16.1,0
6.61,34.4,1.12,2.8,10.9,1
8.98,22.6,1.25,2.8,5.4,1
6.35,30.8,1.05,2.0,15.0,1
7.19,29.2,1.2,6.2,24.2,0
5.39,30.2,1.09,7.0,5.5,1
5.13,25.3,1.06,6.4,2.7,1
9.81,24.7,0.97,8.4,7.3,1
9.18,30.3,1.03,2.2,10.9,1
8.48,23.2,1.01,3.6,8.3,0
7.04,26.3,1.19,3.8,21.0,0
5.87,22.8,0.87,2.9,12.8,1
5.78,20.1,0.86,2.1,6.9,1
6.25,34.6,1.2,4.9,23.8,0
7.75,26.5,1.13,7.7,4.0,1
8.57,34.5,1.06,8.6,3.9,0
8.3,22.1,0.89,2.0,6.9,1
6.4,28.8,1.05,7.6,2.8,1
9.77,23.0,1.27,7.6,19.0,1
8.69,31.9,1.33,4.1,8.5,1
7.77,31.8,1.22,1.9,18.5,1
8.06,21.7,0.84,8.9,19.3,0
7.1,33.7,1.2,6.2,6.7,0
6.24,22.9,0.94,8.9,13.4,0
6.78,29.2,0.99,4.9,13.5,0
8.79,34.8,0.92,4.2,21.9,1
5.07,33.2,1.27,3.0,1.6,1
5.58,34.3,1.19,8.9,8.6,1
5.23,25.1,1.17,3.0,22.2,1
5.2,21.6,1.2,1.2,6.7,1
9.28,22.8,0.94,5.1,4.3,1
8.52,27.5,1.07,4.0,14.8,1
7.37,31.9,1.18,3.1,8.3,0
5.49,22.3,1.18,6.1,12.2,1
7.46,29.9,1.28,3.9,20.7,1
7.37,24.9,0.97,4.2,13.5,0
5.87,25.1,1.26,1.2,13.4,1
7.17,29.9,1.06,5.7,7.7,0
6.99,27.0,1.2,2.0,20.0,1
8.08,32.2,1.07,2.7,18.8,1
8.18,22.3,1.37,6.7,6.6,1
5.23,31.8,0.91,3.5,8.7,1
6.87,21.0,1.21,2.3,19.9,1
8.13,22.9,1.15,5.6,9.6,0
7.52,29.8,0.9,2.7,10.7,1
9.28,32.8,0.84,3.2,9.7,1
8.29,23.8,1.28,6.0,4.9,1
5.81,24.9,0.89,6.9,9.2,1
5.35,28.1,0.91,6.9,20.3,1
8.21,23.2,1.39,4.9,12.8,1
5.13,32.2,1.23,4.6,12.0,1
7.93,31.6,0.95,7.3,4.8,1
9.7,22.2,1.15,2.5,5.3,1
7.88,27.0,1.12,2.2,2.0,1
6.94,31.6,1.31,6.3,1.3,1
8.22,25.1,1.24,4.3,12.7,0
7.29,29.5,1.3,6.7,10.8,1
7.73,20.8,0.93,3.1,7.6,0
9.71,29.1,1.18,3.6,24.8,1
6.93,22.3,0.82,8.2,10.6,0
9.81,32.5,0.84,4.4,19.9,1
9.53,25.3,1.23,5.7,6.1,1
5.98,24.2,0.81,1.9,6.9,1
5.35,32.6,1.15,2.4,14.6,1
5.5,20.8,1.3,1.3,1.1,0
5.09,25.9,1.03,4.4,1.4,1
5.47,25.6,0.83,8.9,4.4,1
8.42,24.3,1.23,8.0,6.4,0
5.36,33.7,1.36,6.1,13.7,1
6.59,31.3,1.23,7.9,17.5,0
9.22,21.0,1.15,5.8,8.5,1
5.12,30.7,0.94,4.0,6.7,1
9.07,27.9,0.81,2.4,20.7,1
6.41,33.5,1.22,6.2,4.9,1
5.59,24.7,0.94,2.5,17.3,1
8.48,28.6,1.31,4.3,23.4,1
8.14,27.5,1.08,7.6,6.6,0
9.39,27.3,1.12,2.0,3.1,1
8.68,26.8,1.25,2.0,24.5,1
9.02,23.1,1.27,2.8,7.5,1
6.41,31.3,1.19,5.4,7.6,0
5.89,26.8,1.36,3.0,12.6,1
8.75,34.4,1.39,5.0,6.5,1
9.03,23.9,1.37,3.4,24.8,1
9.95,30.2,1.29,5.0,2.0,1
7.06,34.1,1.22,3.2,11.8,0
6.86,30.0,1.2,8.8,14.2,0
8.88,33.1,0.86,4.9,12.2,1
6.7,32.4,0.96,6.9,13.5,0
9.65,25.4,0.8,6.6,24.7,1
9.29,29.0,0.88,4.9,22.0,0
7.14,22.3,1.06,2.9,8.4,1
8.75,28.0,0.89,5.1,14.2,1
8.77,23.5,1.34,6.4,1.0,1
5.52,31.2,1.28,4.7,10.8,1
9.51,27.9,0.84,1.7,4.9,1
7.53,26.2,0.95,1.1,18.1,1
9.13,24.0,1.29,3.6,6.3,1
6.6,35.0,1.28,2.2,19.0,1
9.48,21.1,1.37,8.2,8.5,1
6.95,20.7,1.4,2.4,23.2,1
5.05,23.3,1.39,4.2,11.7,1
9.53,34.6,1.05,6.7,21.1,1
5.46,34.7,0.95,7.5,16.1,1
6.6,29.8,1.26,4.8,24.5,1
9.75,33.2,0.98,2.4,18.8,1
9.75,23.2,1.28,3.2,18.5,1
7.87,34.6,1.12,4.4,7.4,0
8.16,22.1,1.28,3.9,13.1,1
7.24,21.5,0.97,3.8,8.0,0
6.47,21.7,1.1,2.1,1.5,1
6.64,28.6,1.14,8.3,18.1,0
8.36,31.7,1.37,1.2,6.7,1
8.76,25.5,0.96,4.5,10.5,1
8.96,34.7,1.36,8.8,7.8,1
8.95,26.5,1.28,6.3,5.8,1
5.46,22.3,1.24,3.8,2.6,1
7.47,27.0,1.27,2.2,9.1,1
5.29,30.2,1.16,8.7,3.0,1
7.75,32.5,0.95,1.1,14.0,1
7.21,26.9,0.91,6.5,1.5,1
9.44,28.9,1.32,8.0,23.6,1
6.75,24.0,1.24,1.2,24.2,1
5.59,29.7,0.93,6.8,8.3,1
5.71,34.8,1.17,9.0,7.2,1
8.81,20.7,1.07,6.1,3.5,1
8.09,33.3,0.9,4.3,22.7,0
5.51,28.4,1.12,8.0,15.1,1
5.42,23.8,0.97,5.4,15.6,1
8.5,34.3,0.86,7.0,22.5,1
5.36,27.3,1.08,5.7,22.9,1
9.11,25.0,1.15,1.3,20.9,1
8.53,22.7,0.83,2.7,19.6,1
5.41,23.7,1.04,1.6,22.1,1
5.42,32.5,0.95,1.9,22.0,1
9.93,29.2,0.82,1.1,9.8,1
6.87,33.7,0.88,4.4,24.4,0
6.85,23.5,0.88,2.4,18.0,1
9.06,21.8,0.91,7.8,9.9,1
9.74,20.1,1.28,7.0,11.6,1
9.93,27.6,1.06,5.6,17.5,1
8.77,35.0,0.89,4.9,9.7,1
6.88,30.4,0.86,3.0,20.8,0
5.42,24.6,0.98,4.8,4.6,1
8.89,33.2,1.28,6.1,22.8,1
7.79,31.7,1.02,7.3,8.2,0
7.12,20.2,0.9,1.7,4.7,1
9.53,32.3,1.04,6.7,21.6,0
5.56,24.5,1.13,6.9,6.7,1
7.46,22.2,0.82,5.5,21.2,0
5.06,23.4,1.18,2.7,8.1,1
7.34,27.0,1.04,5.3,23.4,0
5.28,26.4,0.81,5.0,6.3,1
5.59,24.3,1.2,4.8,2.7,1
5.59,22.6,1.23,4.7,23.5,1
8.25,31.4,1.18,1.9,5.0,1
8.73,34.9,1.01,2.5,23.7,0
7.92,31.7,1.12,1.8,20.8,1
9.81,24.4,1.03,2.9,3.0,1
6.87,23.7,1.22,3.1,11.7,0
6.43,23.3,1.15,3.0,2.8,1
9.34,22.1,0.85,2.7,8.9,1
6.12,28.3,1.19,6.9,9.4,0
9.82,29.1,1.21,7.5,15.4,1
5.06,30.6,1.02,3.6,24.4,1
9.85,30.2,1.33,3.4,5.1,1
5.22,24.4,1.31,7.8,8.9,1
9.46,25.0,0.91,6.0,15.1,1
7.64,30.2,1.34,3.3,5.1,1
9.96,25.2,1.06,6.7,18.1,1
5.37,23.2,1.23,3.8,10.7,1
7.77,25.6,1.29,5.7,23.8,1
9.85,24.1,1.1,8.9,16.1,1
7.62,21.3,1.04,3.4,9.7,0
8.15,32.5,1.35,8.4,18.3,1
8.48,32.8,0.94,3.6,21.1,0
7.27,23.3,0.95,5.3,20.2,0
8.14,21.0,1.02,4.7,7.3,0
7.92,31.1,1.32,7.3,11.0,1
9.51,23.2,1.36,1.5,11.9,1
5.23,25.9,0.93,6.0,10.3,1
6.4,21.0,1.32,7.1,8.5,1
9.75,23.4,0.95,4.8,19.1,1
9.45,31.9,1.38,1.8,1.3,1
7.28,32.1,1.16,3.0,8.0,1
8.1,23.1,0.8,6.4,4.4,1
6.39,25.0,0.82,8.2,4.1,1
5.94,22.0,0.89,4.4,7.6,1
7.32,21.1,0.91,5.5,19.3,0
6.77,34.9,1.26,2.8,24.3,1
7.92,29.8,0.93,4.3,13.4,0
5.39,28.1,1.38,3.7,9.1,1
9.87,31.5,1.18,6.2,20.9,1
9.93,32.6,1.22,8.9,2.6,1
8.49,32.1,0.93,7.5,3.2,1
7.68,20.2,1.34,2.5,9.3,1
6.55,22.8,1.2,5.6,11.8,0
9.07,29.8,1.32,1.5,20.1,1
8.42,25.6,1.37,3.0,23.2,1
5.81,34.7,0.88,2.4,13.8,1
9.55,30.0,0.86,3.7,12.9,1
9.11,34.3,1.28,6.4,6.1,1
9.75,23.0,1.32,5.0,11.8,0
8.63,33.0,1.15,8.5,23.2,1
8.07,24.8,1.02,2.7,10.4,1
7.09,34.8,1.19,3.9,6.1,0
9.66,22.4,0.98,3.6,9.1,1
9.33,27.7,0.94,2.9,13.4,1
5.23,31.9,1.09,8.9,15.4,1
5.13,26.5,0.93,4.1,11.4,1
6.88,27.0,1.09,8.5,19.2,0
9.05,34.8,1.37,4.1,15.0,1
9.94,26.4,1.3,2.6,17.0,1
5.75,29.1,1.36,2.0,21.7,1
7.97,20.8,1.28,7.8,21.8,1
6.9,32.6,1.01,1.3,5.9,1
9.85,29.7,1.29,8.7,16.0,1
9.21,26.1,1.35,4.3,18.2,1
9.19,20.2,1.37,3.0,4.5,1
7.34,28.9,1.21,5.9,21.2,0
7.07,20.2,0.93,2.1,5.3,1
6.37,20.0,0.82,1.6,20.2,1
5.28,29.2,0.89,7.6,4.9,1
9.32,22.8,1.38,4.4,18.8,1
9.06,22.9,1.08,5.1,4.6,1
10.0,29.8,1.31,2.4,10.1,1
9.98,20.8,1.08,1.5,4.4,1
7.78,24.7,1.2,3.9,7.5,0
8.84,22.2,0.81,5.0,24.6,1
9.72,28.7,0.95,7.1,3.6,1
9.25,29.9,1.06,5.0,10.8,1
6.24,30.8,1.18,7.3,17.2,0
7.25,23.8,0.9,1.9,3.3,1
5.65,21.3,1.26,1.5,3.6,1
9.77,21.2,1.02,2.3,4.4,1
8.03,26.4,1.29,7.2,16.5,1
6.14,34.2,0.86,7.1,22.8,0
8.36,23.3,1.21,2.1,20.8,1
8.09,23.9,0.98,1.2,24.6,1
6.79,21.5,1.28,6.5,14.9,1
5.57,29.1,1.04,7.8,24.1,1
8.36,30.2,1.2,7.0,8.3,0
7.6,29.6,1.36,2.6,11.1,1
8.86,32.9,0.81,5.7,10.5,1
7.6,27.3,0.81,7.1,2.1,1
9.26,22.0,1.26,3.0,20.9,1
7.76,24.3,1.19,5.2,1.6,1
7.8,29.9,0.98,3.5,18.5,0
9.38,29.2,1.1,2.8,10.8,1
7.02,28.0,0.83,8.8,1.1,1
5.67,30.2,0.92,8.3,8.0,1
5.14,29.6,1.05,4.6,9.3,1
8.78,33.2,1.3,2.1,24.2,1
8.1,28.8,1.09,6.8,16.9,0
8.52,31.7,1.15,3.0,14.0,1
6.06,23.7,1.32,2.3,4.0,1
5.68,30.2,0.99,4.1,10.4,1
5.07,33.5,1.22,5.2,1.9,1
6.75,25.8,1.32,1.8,19.3,1
7.95,31.7,0.92,5.6,4.9,1
6.96,30.9,1.01,1.1,15.3,1
7.19,20.9,1.39,8.1,17.8,1
9.52,28.7,1.39,8.4,9.8,1
6.74,22.0,0.93,6.9,16.2,0
7.57,34.5,0.84,4.7,19.3,0
8.92,32.2,0.96,3.0,5.4,1
6.98,21.6,1.04,7.0,15.4,0
8.11,21.8,1.06,8.5,18.6,0
9.31,28.9,1.17,2.3,9.6,1
9.75,25.2,1.34,4.7,4.9,1
5.74,20.5,1.0,3.5,7.9,1
9.63,28.1,1.31,3.9,23.4,1
7.46,25.8,0.86,4.2,9.6,0
6.29,21.5,0.83,8.6,3.6,1
7.3,32.0,1.1,3.1,3.0,1
9.9,33.7,0.84,4.9,5.3,1
7.46,31.3,1.04,8.6,4.1,1
6.64,32.3,1.34,4.8,12.9,1
8.17,23.2,0.94,7.9,9.3,0
6.2,24.0,1.22,1.5,21.2,1
5.38,23.1,0.98,8.6,22.1,1
5.64,31.5,0.83,2.5,12.4,1
5.64,34.2,1.13,8.8,22.3,1
5.76,30.8,1.3,2.4,11.8,1
5.69,33.2,1.05,4.6,16.4,1
8.2,29.6,1.17,3.5,4.9,1
5.91,25.8,1.34,4.5,2.3,1
6.73,26.4,1.27,3.0,4.8,1
9.48,21.1,0.92,8.7,7.0,1
7.37,20.5,1.24,3.4,19.0,0
8.34,30.4,1.1,6.2,5.2,0
5.86,26.6,1.25,2.1,4.1,1
5.96,28.3,1.1,7.6,23.3,1
5.2,28.4,0.88,5.3,17.5,1
5.84,24.2,1.14,8.8,12.4,1
6.39,27.1,1.1,4.4,3.3,1
5.89,27.1,1.11,2.6,21.4,1
5.44,25.8,1.33,3.8,3.6,1
5.6,32.3,1.34,6.9,15.7,1
7.3,26.8,1.07,6.3,17.0,0
6.03,29.1,1.07,7.2,10.6,0
6.82,33.4,1.11,1.6,22.9,1
7.52,33.0,1.11,5.6,2.2,0
8.45,33.4,1.37,8.5,20.6,1
5.2,24.1,1.19,1.9,14.3,1
9.0,20.5,0.97,1.8,15.7,1
8.14,23.9,1.12,6.7,24.7,0
5.41,24.2,1.18,3.5,15.0,1
9.37,33.6,1.18,6.3,20.1,1
9.6,29.7,1.15,5.4,4.7,1
5.31,21.2,0.91,8.9,20.4,1
6.38,22.0,0.82,8.1,19.3,0
9.03,22.3,1.0,6.4,24.2,1
8.74,29.5,1.06,3.1,23.5,1
5.92,31.0,0.84,3.1,6.1,1
6.05,32.9,1.29,8.1,12.2,1
6.85,34.1,1.01,5.7,22.9,0
7.42,23.0,1.35,7.3,16.4,1
8.09,24.6,0.89,4.6,12.1,0
6.84,23.6,0.83,1.8,3.6,1
7.31,25.4,1.09,3.7,9.4,0
8.74,33.7,0.91,2.3,17.0,1
5.18,28.6,1.36,7.3,19.6,1
6.26,31.1,0.81,6.6,11.7,0
8.57,27.4,1.05,1.7,2.3,1
9.48,20.4,1.36,6.0,16.2,1
